Type_of_Attack,Date_and_Time,Town,Country,Source_Town,Source_Country,Target_Town,Target_Country
Phishing,2024-01-17 21:03:36.584373,Annaburgh,Russia,North Michael,Brazil,North Feliciamouth,Russia
Phishing,2024-09-05 19:04:35.913235,Thomaston,China,Hoffmanland,India,Williamstad,Brazil
SQL Injection,2024-02-10 10:12:20.864848,Sandersfurt,China,Port Brandy,United States,North Anthony,United States
Ransomware,2024-07-03 09:55:55.529485,Theresafurt,Russia,West Hannah,China,West Elizabeth,Japan
Ransomware,2024-10-13 22:03:45.567989,Phillipsland,Japan,Washingtonside,Germany,Petersburgh,Germany
Malware,2024-03-04 02:00:23.827751,Alantown,Germany,East Matthew,United States,Carolhaven,United States
Phishing,2024-07-15 06:07:09.802920,North Kellyborough,Brazil,Villanuevaport,Germany,Lake Shannonfurt,China
DDoS,2024-02-04 18:05:52.361306,West Susanberg,United Kingdom,South Melissa,Australia,Lake Seanmouth,South Korea
DDoS,2024-05-13 22:20:20.122046,South Eileenland,Brazil,Stacyfurt,Japan,South Jacquelinestad,Japan
Phishing,2024-10-25 06:39:50.409739,Lake Anna,Australia,North Scottside,South Korea,Cynthiaview,India
SQL Injection,2024-04-23 12:26:37.329752,Port Kristenport,United Kingdom,Savannahmouth,Russia,West John,Brazil
SQL Injection,2024-09-18 06:27:04.474570,Debrachester,South Korea,South Karenside,South Korea,Amandahaven,Russia
Malware,2024-09-07 10:30:16.993680,Wilsonhaven,Japan,North Andreaview,South Korea,New Kyle,Germany
Ransomware,2024-05-22 22:57:32.299522,West Kimberly,Brazil,West Kelseytown,Brazil,Christensenville,United Kingdom
SQL Injection,2024-10-27 06:26:43.331526,Owensmouth,China,Emilyview,United States,Kathystad,Australia
Phishing,2024-07-29 10:04:43.681837,Webbmouth,Australia,North Peter,United Kingdom,Lake Aprilborough,Brazil
SQL Injection,2024-01-23 15:00:22.274533,Byrdhaven,China,Lake Donald,United Kingdom,Lake David,United States
Phishing,2024-02-19 18:55:41.602045,Whitakerland,South Korea,New Erinbury,South Korea,Lake Robert,Germany
DDoS,2024-02-17 09:31:52.116139,Jackport,United Kingdom,Millerside,India,East Kimberly,Australia
SQL Injection,2024-01-16 08:34:16.297924,Villaside,Japan,Jessicaton,South Korea,Maryburgh,Japan
Phishing,2024-04-10 20:31:33.401390,Lake Kyle,South Korea,Nicolasmouth,India,South Daniel,United States
Malware,2024-03-06 15:51:54.522378,Jamesbury,Russia,New Carlfort,Japan,North Angelaport,Brazil
Malware,2024-02-18 13:04:08.272019,Carriebury,United States,Alyssaton,Japan,Lake Michael,Japan
Malware,2024-05-01 14:03:43.429987,North Phyllisview,Australia,South Jenniferside,India,Hunterfurt,United States
Phishing,2024-05-11 11:41:29.595169,Christopherfurt,Russia,New Kenneth,Japan,Alexachester,South Korea
Phishing,2024-05-27 21:13:38.932179,Port David,United Kingdom,Fredmouth,Germany,Howellshire,Japan
DDoS,2024-06-12 01:28:30.711517,East Julian,South Korea,West Tara,South Korea,South Olivia,India
DDoS,2024-10-12 08:37:37.981409,Hopkinsstad,Australia,Lisaville,India,East Mitchellburgh,United States
Phishing,2024-10-11 14:33:22.372714,Port Keithton,Germany,Henryland,South Korea,North Joshua,Germany
Ransomware,2024-05-22 23:32:10.283771,South Scott,India,New Mariobury,Australia,New Toddborough,China
Phishing,2024-03-26 23:16:25.083200,Josephville,India,Benjaminland,Germany,Lake Eric,Germany
Ransomware,2024-01-26 02:35:36.112772,Leeton,Russia,South Heatherview,United States,North Javierburgh,Japan
SQL Injection,2024-07-14 05:03:56.815901,South Travisfort,Brazil,South Brandon,Germany,North Saraland,Brazil
Phishing,2024-04-22 19:45:53.714258,Port Katie,Japan,Port Wendyland,Australia,Andersonport,China
Ransomware,2024-03-16 08:34:09.082690,Fisherport,Russia,East Patricia,Japan,Johntown,Germany
SQL Injection,2024-03-28 21:08:49.046310,South Taraview,Russia,Calderonbury,South Korea,Millerside,United States
Ransomware,2024-09-09 12:39:44.936257,Aguilarmouth,United Kingdom,New Jamiehaven,Brazil,Andrewchester,Australia
Phishing,2024-07-24 10:21:48.874208,Melissaside,Brazil,South Kylefort,Japan,North Andrewfort,Russia
Phishing,2024-08-02 16:28:23.010335,Angieland,United Kingdom,Tonystad,Russia,South Amychester,Russia
Ransomware,2024-09-13 00:08:13.765363,Trantown,Japan,Knightmouth,Brazil,Port Lauren,Japan
Phishing,2024-07-09 18:13:07.262516,Moyerburgh,United States,Ortizmouth,United Kingdom,New Jennifer,Australia
DDoS,2024-10-09 18:31:14.991623,New Emma,India,Lake Allenview,Russia,North Ashleyport,Australia
DDoS,2024-05-10 07:58:29.610005,Watershaven,South Korea,Markchester,United Kingdom,Huntfort,China
